Party,Type,Counts,Prohibited act,Amount,Date
"Lawn & Garden Products, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,05/09/2017
"Rapidgrow Industries, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,05/07/2017
"Plant Health, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,05/04/2017
"Advancing Eco-Agriculture, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(e),,05/04/2017
"Actagro, LLC",Fertilizer notice of violation,5,ORS 633.366(1)(a),,05/04/2017
"Everris NA, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,05/04/2017
"Plant Health, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(i),,05/04/2017
"Arysta Lifescience America, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,05/04/2017
"Lane Forest Products, Inc.",Fertilizer notice of violation,16,ORS 633.366(1)(a),,04/06/2017
"Lane Forest Products, Inc.",Fertilizer notice of violation,16,ORS 633.366(1)(e),,04/06/2017
"Waupaca Northwoods, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,02/20/2017
"West Coast Horticulture, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,02/19/2017
"West Coast Horticulture, LLC",Fertilizer notice of violation,6,ORS 633.366(1)(e),,02/19/2017
J.R. Simplot Company,Fertilizer civil penalty,9,ORS 633.366(1)(e),$843.75,02/17/2017
J.R. Simplot Company,Fertilizer civil penalty,6,ORS 633.366(1)(a),"$11,250",02/17/2017
"Easy Gardener Products, Inc.",Fertilizer civil penalty,6,ORS 633.366(1)(a),$750,02/15/2017
"Fred Meyer Stores, Inc.",Fertilizer civil penalty,3,ORS 633.366(1)(e),$375,02/12/2017
"Vital Landscaping, Inc.",Fertilizer notice of violation,2,ORS 633.366(1)(e),,01/31/2017
"Vital Landscaping, Inc.",Fertilizer notice of violation,4,ORS 633.366(1)(a),,01/31/2017
"ABC Organics, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,01/25/2017
"ABC Organics, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,01/25/2017
Dragonfly Earth Medicine,Fertilizer notice of violation,7,ORS 633.366(1)(a),,01/23/2017
"Rhizoflora, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(c),,01/05/2017
Golden Roots Agriculture Supply (Goldenroots),Fertilizer notice of violation,1,ORS 633.366(1)(a),,01/05/2017
Lebanon Seaboard Corporation,Fertilizer civil penalty,2,ORS 633.366(1)(a),$750,11/30/2016
"Concentrates, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(j),"$1,500",11/03/2016
"AZ Enterprises, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,10/25/2016
"AZ Enterprises, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,10/25/2016
"Central Oregon Basalt Products, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,10/12/2016
Oregon's Only Organics Co.,Fertilizer civil penalty,1,ORS 633.366(1)(a),$375,10/12/2016
"Central Oregon Basalt Products, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(j),$500,10/12/2016
"Central Oregon Basalt Products, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(e),$125,10/12/2016
"Santiam Organics, LLC",Fertilizer civil penalty,7,ORS 633.366(1)(a),$875,10/11/2016
"Santiam Organics, LLC",Fertilizer notice of violation,3,ORS 633.366(1)(m),,10/11/2016
"Santiam Organics, LLC",Fertilizer notice of violation,3,ORS 633.366(1)(n),,10/11/2016
"A.N.H. Enterprises Corporation (Plan ""B"" Organics)",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,10/11/2016
"Santiam Organics, LLC",Fertilizer notice of violation,8,ORS 633.366(1)(e),,10/11/2016
"Aurora Innovations, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(a),$375,10/11/2016
